Tree,Group,FtNo,Number,Name,ValueType,Unit,Default,Min,Max,Command,DataAttribute,Rsware,Remark
Tuningless,Persistent Vibration Filter,Ft-2.35,54,POC LPF,int,Hz,50,0,10000,SET/STR,Always,O,
Tuningless,Current Loop POC Filter,Ft-4.38/D3,55,Current POC,int,-,0x0,0x0,0x1,SET/STR,Servo Off,O,
Tuningless,Current Loop POC Filter,Ft-4.44,56,Current POC Kr Filter,int,Hz,3500,0,10000,SET/STR,,O,
Tuningless,Current Loop POC Filter,Ft-4.45,57,Current POC BPF Upper Cutoff Freq,int,Hz,2500,0,10000,SET/STR,,O,
Tuningless,Current Loop POC Filter,Ft-4.46,58,Current POC BPF Lower Cutoff Freq,int,Hz,10,0,10000,SET/STR,,O,
Tuningless,Current Loop POC Filter,Ft-4.47,59,Current POC Kd Gain,int,Hz,2000,0,10000,SET/STR,,O,
Tuningless,Current Loop POC Filter,Ft-4.48,60,Current POC Operation Delay,int,msec,0,0,10000,SET/STR,,O,
Resonant Suppression,Resonant Frequency Suppression Filter,Ft-4.13,1,Resonant Freq Suppression,int,-,10000,0,10000,SET/STR,Always,O,
Resonant Suppression,Resonant Frequency Suppression Filter,Ft-4.14,2,Notch Width,int,-,10,0,20,SET/STR,Always,O,
Resonant Suppression,Resonant Frequency Suppression Filter,Ft-4.15,3,Notch Depth,int,-,100,0,100,SET/STR,Always,O,CSD7 신규기능
Resonant Suppression,Resonant Frequency Suppression Filter,Ft-4.16,4,Resonant Freq Suppression 2nd,int,-,10000,0,10000,SET/STR,Always,O,
Resonant Suppression,Resonant Frequency Suppression Filter,Ft-4.17,5,Notch Width 2nd,int,-,10,0,20,SET/STR,Always,O,
Resonant Suppression,Resonant Frequency Suppression Filter,Ft-4.18,6,Notch Depth 2nd,int,-,100,0,100,SET/STR,Always,O,
Resonant Suppression,Resonant Frequency Suppression Filter,Ft-4.19,7,Resonant Freq Suppression 3rd,int,-,10000,0,10000,SET/STR,Always,O,CSD7 신규기능
Resonant Suppression,Resonant Frequency Suppression Filter,Ft-4.20,8,Notch Width 3rd,int,-,10,0,20,SET/STR,Always,O,CSD7 신규기능
Resonant Suppression,Resonant Frequency Suppression Filter,Ft-4.21,9,Notch Depth 3rd,int,-,100,0,100,SET/STR,Always,O,CSD7 신규기능
